,fecha,precio,año_hecho,año_renovado,metros_cuadrados,pisos,habitaciones,baños,calle,codigo_zip,estado,ciudad
54,2019-08-13,332840,1979-01-01,1970-01-01 00:00:00.000002015,713.0,1.0,3.0,2.0,9700 TWIN CREEK CIR,75228.0,TX,DALLAS
55,2019-07-08,427530,1979-01-01,1970-01-01 00:00:00.000002015,567.0,1.0,3.0,2.0,7000 IRONGATE LN,75214.0,TX,DALLAS
56,2019-06-20,577780,1978-01-01,1970-01-01 00:00:00.000002015,960.0,1.0,4.0,3.0,400 ALLISON DR,75208.0,TX,DALLAS
57,2019-06-11,220090,1977-01-01,1970-01-01 00:00:00.000002015,597.0,1.0,3.0,2.0,200 PAGE AVE,75203.0,TX,DALLAS
58,2019-08-05,501520,1977-01-01,1970-01-01 00:00:00.000002015,1177.0,3.0,4.0,3.0,4701 COYOTE TRL,75227.0,TX,DALLAS
59,2019-08-06,177250,1977-01-01,1970-01-01 00:00:00.000002015,335.0,1.0,2.0,1.0,9902 CHILMARK WAY,75227.0,TX,DALLAS
60,2019-07-03,245080,1977-01-01,1970-01-01 00:00:00.000002015,448.0,1.0,3.0,2.0,3500 JENNY DALE DR,75212.0,TX,DALLAS
61,2019-06-27,1182570,1976-01-01,1970-01-01 00:00:00.000002015,527.0,1.0,3.0,2.0,101 ALBROOK DR,75211.0,TX,DALLAS
62,2019-07-04,428470,1976-01-01,1970-01-01 00:00:00.000002015,716.0,1.0,5.0,3.0,6901 BUCKNELL DR,75214.0,TX,DALLAS
63,2019-07-21,177850,1976-01-01,1970-01-01 00:00:00.000002015,427.0,1.0,3.0,2.0,100 CREEK COVE DR,75217.0,TX,DALLAS
64,2019-06-10,628330,1976-01-01,1970-01-01 00:00:00.000002015,640.0,1.0,4.0,2.0,2101 MINEHAMPTON LN,75201.0,TX,DALLAS
65,2019-07-02,377230,1975-01-01,1970-01-01 00:00:00.000002015,500.0,1.0,3.0,2.0,6101 RIDAN LN,75211.0,TX,DALLAS
66,2019-06-21,400510,1974-01-01,1970-01-01 00:00:00.000002015,875.0,2.0,3.0,3.0,900 STEVENS WOODS CT,75208.0,TX,DALLAS
67,2019-06-28,469840,1973-01-01,1970-01-01 00:00:00.000002015,561.0,1.0,3.0,2.0,400 COOMBS CREEK DR,75211.0,TX,DALLAS
68,2019-06-18,550120,1973-01-01,1970-01-01 00:00:00.000002015,1113.0,2.0,7.0,4.0,5701 SKILLMAN ST,75206.0,TX,DALLAS
69,2019-06-13,296200,1973-01-01,1970-01-01 00:00:00.000002015,738.0,1.0,2.0,2.0,4828 ALCOTT ST,75204.0,TX,DALLAS
70,2019-07-10,533450,1972-01-01,1970-01-01 00:00:00.000002015,1308.0,2.0,4.0,3.0,5700 JARVIS CIR,75215.0,TX,DALLAS
71,2019-06-28,237600,1972-01-01,1970-01-01 00:00:00.000002015,585.0,1.0,4.0,3.0,5408 PREAKNESS LN,75211.0,TX,DALLAS
72,2019-08-08,607200,1971-01-01,1970-01-01 00:00:00.000002015,890.0,1.0,4.0,3.0,3500 ALTURA AVE,75228.0,TX,DALLAS
73,2019-07-02,328220,1970-01-01,1970-01-01 00:00:00.000002015,585.0,2.0,3.0,1.0,1001 GALLANT FOX DR,75211.0,TX,DALLAS
74,2019-06-11,1137920,1970-01-01,1970-01-01 00:00:00.000002015,1073.0,1.0,4.0,3.0,220 CORINTH STREET RD,75203.0,TX,DALLAS
75,2019-06-26,971420,1965-01-01,1970-01-01 00:00:00.000002015,896.0,1.0,4.0,3.0,4900 SUSAN ST,75211.0,TX,DALLAS
76,2019-07-31,775780,1955-01-01,1970-01-01 00:00:00.000002015,878.0,1.0,4.0,3.0,2301 TOLUCA AVE,75224.0,TX,DALLAS
77,2019-06-17,772630,1952-01-01,1970-01-01 00:00:00.000002015,591.0,1.0,3.0,2.0,5901 AUBURNDALE AVE,75205.0,TX,DALLAS
78,2019-06-11,615810,1951-01-01,1970-01-01 00:00:00.000002015,652.0,1.0,4.0,2.0,200 JERDEN LN,75203.0,TX,DALLAS
79,2019-07-09,867180,1945-01-01,1970-01-01 00:00:00.000002015,686.0,2.0,3.0,2.0,1000 BELLEVIEW ST,75215.0,TX,DALLAS
80,2019-07-25,334950,1943-01-01,1970-01-01 00:00:00.000002015,527.0,1.0,3.0,2.0,9400 TARLETON ST,75218.0,TX,DALLAS
81,2019-06-25,520980,1942-01-01,1970-01-01 00:00:00.000002015,869.0,2.0,4.0,4.0,5415 CARUTH BLVD,75209.0,TX,DALLAS
82,2019-07-23,827760,1939-01-01,1970-01-01 00:00:00.000002015,1195.0,2.0,4.0,4.0,8601 GALEN LN,75217.0,TX,DALLAS
83,2019-07-04,701490,1930-01-01,1970-01-01 00:00:00.000002015,741.0,2.0,4.0,3.0,4051 LA REUNION PKWY,75212.0,TX,DALLAS
84,2019-08-13,1052360,1925-01-01,1970-01-01 00:00:00.000002015,735.0,2.0,4.0,3.0,8901 LINDARO LN,75228.0,TX,DALLAS
85,2019-07-02,690610,1914-01-01,1970-01-01 00:00:00.000002015,948.0,2.0,4.0,3.0,1900 VIERA PLZ,75211.0,TX,DALLAS
86,2019-06-28,480770,1913-01-01,1970-01-01 00:00:00.000002015,445.0,2.0,3.0,1.0,400 STARETTA LN,75211.0,TX,DALLAS
87,2019-07-18,539320,1909-01-01,1970-01-01 00:00:00.000002015,463.0,1.0,3.0,1.0,600 CEDARCLIFF DR,75217.0,TX,DALLAS
88,2019-07-29,363720,1909-01-01,1970-01-01 00:00:00.000002015,445.0,2.0,2.0,2.0,5100 PALOMAR LN,75229.0,TX,DALLAS
89,2019-08-05,410030,1908-01-01,1970-01-01 00:00:00.000002015,924.0,2.0,5.0,3.0,4700 WILBURTON DR,75227.0,TX,DALLAS
90,2019-08-08,1758320,1907-01-01,1970-01-01 00:00:00.000002015,738.0,2.0,3.0,2.0,11801 LA FONDA BLVD,75228.0,TX,DALLAS
91,2019-07-18,287800,1906-01-01,1970-01-01 00:00:00.000002015,607.0,1.0,3.0,2.0,901 PLEASANT WOODS DR,75217.0,TX,DALLAS
92,2019-08-01,526670,1906-01-01,1970-01-01 00:00:00.000002015,600.0,2.0,5.0,2.0,100 CROWDUS ST,75226.0,TX,DALLAS
93,2019-06-12,707120,1905-01-01,1970-01-01 00:00:00.000002015,856.0,2.0,4.0,3.0,1601 KENT ST,75203.0,TX,DALLAS
94,2019-06-18,799950,1904-01-01,1970-01-01 00:00:00.000002015,957.0,3.0,6.0,3.0,1811 GREENVILLE AVE,75206.0,TX,DALLAS
95,2019-08-01,503340,1904-01-01,1970-01-01 00:00:00.000002015,500.0,2.0,4.0,1.0,3901 LOVERS LANE CIR,75225.0,TX,DALLAS
96,2019-08-12,777010,1984-01-01,1970-01-01 00:00:00.000002014,1311.0,2.0,4.0,3.0,10101 PLUMMER DR,75228.0,TX,DALLAS
97,2019-08-05,481140,1984-01-01,1970-01-01 00:00:00.000002014,768.0,2.0,4.0,3.0,8016 CHARIOT DR,75227.0,TX,DALLAS
98,2019-06-27,607280,1984-01-01,1970-01-01 00:00:00.000002014,869.0,1.0,4.0,3.0,600 REVERCHON DR,75211.0,TX,DALLAS
99,2019-07-18,477360,1983-01-01,1970-01-01 00:00:00.000002014,506.0,1.0,3.0,2.0,9500 MACOMBA CT,75217.0,TX,DALLAS
100,2019-08-06,207340,1983-01-01,1970-01-01 00:00:00.000002014,381.0,1.0,3.0,2.0,3501 PAMPAS CREEK DR,75227.0,TX,DALLAS
101,2019-08-12,170970,1982-01-01,1970-01-01 00:00:00.000002014,341.0,1.0,2.0,1.0,10101 PINECREST DR,75228.0,TX,DALLAS
102,2019-08-01,344940,1982-01-01,1970-01-01 00:00:00.000002014,582.0,1.0,3.0,2.0,215 WALTON ST,75226.0,TX,DALLAS
103,2019-08-05,530560,1981-01-01,1970-01-01 00:00:00.000002014,655.0,2.0,4.0,2.0,5700 MARVIEW LN,75227.0,TX,DALLAS
104,2019-06-24,305500,1981-01-01,1970-01-01 00:00:00.000002014,527.0,1.0,3.0,2.0,5300 ROCK CLIFF PL,75209.0,TX,DALLAS
105,2019-07-08,420990,1981-01-01,1970-01-01 00:00:00.000002014,573.0,1.0,3.0,2.0,6601 COUNTRY CLUB CIR,75214.0,TX,DALLAS
106,2019-07-28,431280,1981-01-01,1970-01-01 00:00:00.000002014,448.0,1.0,3.0,2.0,3400 BOGATA BLVD,75220.0,TX,DALLAS
107,2019-08-12,385110,1981-01-01,1970-01-01 00:00:00.000002014,381.0,1.0,2.0,1.0,10801 CASSANDRA WAY,75228.0,TX,DALLAS
108,2019-07-15,308560,1980-01-01,1970-01-01 00:00:00.000002014,338.0,2.0,2.0,2.0,4601 WADSWORTH DR,75216.0,TX,DALLAS
109,2019-07-08,962670,1980-01-01,1970-01-01 00:00:00.000002014,1439.0,2.0,4.0,3.0,700 GLENDALE ST,75214.0,TX,DALLAS
110,2019-06-12,352920,1980-01-01,1970-01-01 00:00:00.000002014,347.0,1.0,3.0,1.0,1801 SUSSEX AVE,75203.0,TX,DALLAS
111,2019-06-18,90130,1975-01-01,1970-01-01 00:00:00.000002014,268.0,1.0,2.0,1.0,3700 GLENCOE ST,75206.0,TX,DALLAS
112,2019-07-30,588130,1975-01-01,1970-01-01 00:00:00.000002014,899.0,1.0,4.0,3.0,501 HOEL DR,75224.0,TX,DALLAS
113,2019-07-02,295990,1974-01-01,1970-01-01 00:00:00.000002014,1052.0,1.0,4.0,3.0,4700 MIRADERO ST,75211.0,TX,DALLAS
114,2019-06-26,257550,1973-01-01,1970-01-01 00:00:00.000002014,341.0,1.0,3.0,2.0,5401 GOODMAN ST,75211.0,TX,DALLAS
115,2019-07-25,363280,1973-01-01,1970-01-01 00:00:00.000002014,762.0,1.0,5.0,2.0,8600 DAYTONIA AVE,75218.0,TX,DALLAS
116,2019-06-24,604420,1971-01-01,1970-01-01 00:00:00.000002014,1036.0,2.0,5.0,2.0,4601 SHADYWOOD LN,75209.0,TX,DALLAS
117,2019-06-20,300170,1971-01-01,1970-01-01 00:00:00.000002014,530.0,1.0,3.0,2.0,5100 SPRINGMEADOW DR,75229.0,TX,DALLAS
118,2019-08-13,412190,1964-01-01,1970-01-01 00:00:00.000002014,686.0,1.0,4.0,2.0,8601 WESTGLEN DR,75228.0,TX,DALLAS
119,2019-07-24,202770,1963-01-01,1970-01-01 00:00:00.000002014,372.0,1.0,3.0,2.0,10400 KOKO HEAD CIR,75218.0,TX,DALLAS
120,2019-07-06,246430,1961-01-01,1970-01-01 00:00:00.000002014,619.0,1.0,3.0,2.0,7501 KIMBERLY LN,75214.0,TX,DALLAS
121,2019-08-06,600100,1961-01-01,1970-01-01 00:00:00.000002014,939.0,1.0,5.0,2.0,9000 TAMPAS LN,75227.0,TX,DALLAS
122,2019-08-14,287200,1960-01-01,1970-01-01 00:00:00.000002014,628.0,1.0,4.0,2.0,3201 LIGHT POINT DR,75228.0,TX,DALLAS
123,2019-07-01,276560,1960-01-01,1970-01-01 00:00:00.000002014,387.0,1.0,3.0,1.0,4400 LAS HACIENDAS DR,75211.0,TX,DALLAS
124,2019-07-29,365420,1960-01-01,1970-01-01 00:00:00.000002014,503.0,1.0,4.0,2.0,3901 BOWIE LN,75220.0,TX,DALLAS
125,2019-07-03,601200,1960-01-01,1970-01-01 00:00:00.000002014,826.0,1.0,4.0,2.0,2501 TAN OAK DR,75212.0,TX,DALLAS
126,2019-08-13,302510,1959-01-01,1970-01-01 00:00:00.000002014,384.0,1.0,3.0,1.0,9600 TALINA DR,75228.0,TX,DALLAS
127,2019-08-05,264590,1959-01-01,1970-01-01 00:00:00.000002014,454.0,1.0,4.0,2.0,7100 TERESITA TRL,75227.0,TX,DALLAS
128,2019-08-08,242030,1959-01-01,1970-01-01 00:00:00.000002014,524.0,1.0,3.0,2.0,7501 DAINGERFIELD DR,75227.0,TX,DALLAS
129,2019-06-12,211430,1959-01-01,1970-01-01 00:00:00.000002014,491.0,1.0,3.0,2.0,3535 TRAVIS ST,75204.0,TX,DALLAS
130,2019-08-12,301910,1958-01-01,1970-01-01 00:00:00.000002014,695.0,1.0,4.0,3.0,10901 STRAYHORN DR,75228.0,TX,DALLAS
131,2019-08-05,561440,1957-01-01,1970-01-01 00:00:00.000002014,668.0,2.0,3.0,2.0,5200 FREESTONE CIR,75227.0,TX,DALLAS
132,2019-07-11,806840,1957-01-01,1970-01-01 00:00:00.000002014,1436.0,1.0,5.0,3.0,2400 OZONA ST,75216.0,TX,DALLAS
133,2019-07-30,452870,1955-01-01,1970-01-01 00:00:00.000002014,744.0,1.0,4.0,3.0,3501 OSAGE CIR,75223.0,TX,DALLAS
134,2019-07-29,505080,1954-01-01,1970-01-01 00:00:00.000002014,421.0,1.0,3.0,2.0,3501 POQUITA DR,75220.0,TX,DALLAS
135,2019-08-01,236950,1953-01-01,1970-01-01 00:00:00.000002014,448.0,1.0,4.0,1.0,1201 BIG TOWN BLVD,75227.0,TX,DALLAS
136,2019-08-05,573500,1952-01-01,1970-01-01 00:00:00.000002014,646.0,1.0,3.0,2.0,5700 WINDING WOODS TRL,75227.0,TX,DALLAS
137,2019-06-11,314750,1952-01-01,1970-01-01 00:00:00.000002014,469.0,1.0,4.0,2.0,2001 8TH ST,75203.0,TX,DALLAS
138,2019-07-21,354070,1950-01-01,1970-01-01 00:00:00.000002014,515.0,1.0,4.0,2.0,3500 FLAXLEY DR,75229.0,TX,DALLAS
139,2019-07-02,802830,1950-01-01,1970-01-01 00:00:00.000002014,860.0,1.0,4.0,3.0,5956 MOUNTAIN VALLEY LN,75211.0,TX,DALLAS
140,2019-07-24,327300,1949-01-01,1970-01-01 00:00:00.000002014,655.0,2.0,4.0,1.0,4100 WALNUT GLEN PL,75229.0,TX,DALLAS
141,2019-07-21,164950,1949-01-01,1970-01-01 00:00:00.000002014,256.0,2.0,2.0,1.0,10300 CRITTENDON DR,75229.0,TX,DALLAS
142,2019-07-07,456470,1948-01-01,1970-01-01 00:00:00.000002014,396.0,1.0,2.0,1.0,6400 SUNNYLAND LN,75214.0,TX,DALLAS
143,2019-07-07,432560,1947-01-01,1970-01-01 00:00:00.000002014,332.0,1.0,2.0,1.0,6600 YOSEMITE LN,75214.0,TX,DALLAS
144,2019-07-25,451340,1947-01-01,1970-01-01 00:00:00.000002014,472.0,1.0,3.0,2.0,10500 MAPLEGROVE LN,75218.0,TX,DALLAS
145,2019-06-25,379270,1946-01-01,1970-01-01 00:00:00.000002014,372.0,1.0,2.0,1.0,2101 LAGOW ST,75210.0,TX,DALLAS
146,2019-07-23,255920,1945-01-01,1970-01-01 00:00:00.000002014,692.0,2.0,4.0,2.0,10850 MULBERRY ST,75217.0,TX,DALLAS
147,2019-08-06,478240,1945-01-01,1970-01-01 00:00:00.000002014,914.0,1.0,4.0,3.0,3501 GLOVER PASS,75227.0,TX,DALLAS
148,2019-07-28,450710,1933-01-01,1970-01-01 00:00:00.000002014,582.0,1.0,4.0,3.0,2200 VAGAS ST,75219.0,TX,DALLAS
149,2019-06-20,466200,1922-01-01,1970-01-01 00:00:00.000002014,479.0,1.0,3.0,2.0,301 EVERGREEN HILLS RD,75208.0,TX,DALLAS
150,2019-06-14,276810,1920-01-01,1970-01-01 00:00:00.000002014,475.0,1.0,3.0,2.0,1300 PALM CANYON DR,75204.0,TX,DALLAS
151,2019-07-02,535690,1919-01-01,1970-01-01 00:00:00.000002014,762.0,2.0,4.0,3.0,4700 LA RUE ST,75211.0,TX,DALLAS
152,2019-06-11,488470,1905-01-01,1970-01-01 00:00:00.000002014,485.0,2.0,3.0,2.0,1601 AVENUE B,75203.0,TX,DALLAS
153,2019-06-24,287130,1982-01-01,1970-01-01 00:00:00.000002013,296.0,2.0,1.0,2.0,3700 SHORECREST DR,75209.0,TX,DALLAS
154,2019-08-12,406800,1980-01-01,1970-01-01 00:00:00.000002013,783.0,1.0,4.0,2.0,10801 DUNAWAY DR,75228.0,TX,DALLAS
155,2019-06-20,193490,1970-01-01,1970-01-01 00:00:00.000002013,387.0,1.0,3.0,1.0,601 HARVEY,75208.0,TX,DALLAS
156,2019-06-20,205150,1970-01-01,1970-01-01 00:00:00.000002013,585.0,1.0,4.0,2.0,1700 WINNETKA AVE,75208.0,TX,DALLAS
157,2019-08-08,290140,1970-01-01,1970-01-01 00:00:00.000002013,509.0,1.0,3.0,1.0,2100 BERGSTROM DR,75227.0,TX,DALLAS
158,2019-06-28,135650,1968-01-01,1970-01-01 00:00:00.000002013,390.0,1.0,3.0,1.0,3300 BURLINGDELL AVE,75211.0,TX,DALLAS
159,2019-06-13,535210,1967-01-01,1970-01-01 00:00:00.000002013,539.0,1.0,3.0,1.0,2800 GUILLOT ST,75204.0,TX,DALLAS
160,2019-06-25,222410,1967-01-01,1970-01-01 00:00:00.000002013,564.0,1.0,3.0,2.0,5301 AUTUMNBROOK CT,75209.0,TX,DALLAS
161,2019-06-27,246700,1967-01-01,1970-01-01 00:00:00.000002013,555.0,1.0,4.0,2.0,101 CAVENDER ST,75211.0,TX,DALLAS
162,2019-08-05,494360,1967-01-01,1970-01-01 00:00:00.000002013,683.0,1.0,4.0,2.0,4700 CHILTON DR,75227.0,TX,DALLAS
163,2019-07-07,440240,1966-01-01,1970-01-01 00:00:00.000002013,774.0,1.0,4.0,3.0,6800 CHARADE DR,75214.0,TX,DALLAS
164,2019-06-13,540970,1966-01-01,1970-01-01 00:00:00.000002013,622.0,1.0,4.0,2.0,3500 ALONZO PL,75204.0,TX,DALLAS
165,2019-06-28,982240,1965-01-01,1970-01-01 00:00:00.000002013,1195.0,1.0,4.0,3.0,5001 SPRUCE ST,75211.0,TX,DALLAS
166,2019-06-19,216260,1965-01-01,1970-01-01 00:00:00.000002013,402.0,1.0,2.0,1.0,101 LESLIE ST,75207.0,TX,DALLAS
167,2019-08-07,256550,1963-01-01,1970-01-01 00:00:00.000002013,814.0,1.0,4.0,2.0,2800 CLIFFSIDE DR,75227.0,TX,DALLAS
168,2019-08-01,237770,1963-01-01,1970-01-01 00:00:00.000002013,658.0,1.0,3.0,2.0,2000 BOURBON ST,75226.0,TX,DALLAS
169,2019-07-08,193180,1963-01-01,1970-01-01 00:00:00.000002013,408.0,1.0,3.0,2.0,2200 CECILLE ST,75214.0,TX,DALLAS
170,2019-06-24,309940,1962-01-01,1970-01-01 00:00:00.000002013,454.0,1.0,3.0,1.0,8200 MARICOPA ST,75209.0,TX,DALLAS
171,2019-07-25,972620,1962-01-01,1970-01-01 00:00:00.000002013,789.0,2.0,3.0,3.0,900 BRIDGET LN,75218.0,TX,DALLAS
172,2019-07-14,266060,1960-01-01,1970-01-01 00:00:00.000002013,326.0,1.0,2.0,1.0,4501 YANCY ST,75216.0,TX,DALLAS
173,2019-07-28,406170,1959-01-01,1970-01-01 00:00:00.000002013,610.0,1.0,3.0,1.0,9800 MEADOWBROOK DR,75220.0,TX,DALLAS
174,2019-07-31,576170,1958-01-01,1970-01-01 00:00:00.000002013,1149.0,1.0,5.0,3.0,3533 CRIPPLE CREEK DR,75224.0,TX,DALLAS
175,2019-07-21,419550,1958-01-01,1970-01-01 00:00:00.000002013,789.0,1.0,4.0,3.0,600 WOODMONT DR,75217.0,TX,DALLAS
176,2019-07-21,295410,1958-01-01,1970-01-01 00:00:00.000002013,576.0,1.0,3.0,2.0,7700 RILLA AVE,75217.0,TX,DALLAS
